month,region,product,units_sold,revenue,return_rate
2025-11,North,Laptop Pro,130,189513.9,0.077
2025-11,North,Phone X,202,147816.26,0.042
2025-11,North,Tablet Air,206,103025.55,0.05
2025-11,North,Headphones Elite,305,91880.55,0.063
2025-11,North,Smart Watch,161,37252.1,0.018
2025-11,North,Camera Zoom,130,109310.72,0.046
2025-11,South,Laptop Pro,157,215666.65,0.078
2025-11,South,Phone X,226,154863.18,0.013
2025-11,South,Tablet Air,121,56141.93,0.022
2025-11,South,Headphones Elite,190,57012.27,0.017
2025-11,South,Smart Watch,400,102053.95,0.055
2025-11,South,Camera Zoom,96,87998.98,0.065
2025-11,East,Laptop Pro,369,502204.58,0.056
2025-11,East,Phone X,206,152019.87,0.065
2025-11,East,Tablet Air,132,63424.32,0.061
2025-11,East,Headphones Elite,243,78111.21,0.049
2025-11,East,Smart Watch,125,33113.85,0.061
2025-11,East,Camera Zoom,264,219919.07,0.078
2025-11,West,Laptop Pro,266,363686.33,0.055
2025-11,West,Phone X,291,192151.68,0.067
2025-11,West,Tablet Air,167,82329.59,0.051
2025-11,West,Headphones Elite,144,45835.9,0.078
2025-11,West,Smart Watch,132,30328.23,0.064
2025-11,West,Camera Zoom,331,289838.92,0.06
2025-12,North,Laptop Pro,384,559068.93,0.042
2025-12,North,Phone X,320,219585.58,0.06
2025-12,North,Tablet Air,191,100607.55,0.057
2025-12,North,Headphones Elite,274,82917.38,0.028
2025-12,North,Smart Watch,294,76725.34,0.038
2025-12,North,Camera Zoom,168,143246.73,0.068
2025-12,South,Laptop Pro,359,466167.83,0.026
2025-12,South,Phone X,326,216490.68,0.025
2025-12,South,Tablet Air,368,180375.13,0.014
2025-12,South,Headphones Elite,301,83190.84,0.048
2025-12,South,Smart Watch,511,135137.51,0.045
2025-12,South,Camera Zoom,356,324086.22,0.028
2025-12,East,Laptop Pro,232,318912.71,0.027
2025-12,East,Phone X,239,157024.43,0.054
2025-12,East,Tablet Air,230,107525.74,0.023
2025-12,East,Headphones Elite,178,51187.97,0.019
2025-12,East,Smart Watch,334,79740.08,0.027
2025-12,East,Camera Zoom,242,224497.1,0.029
2025-12,West,Laptop Pro,434,605392.37,0.034
2025-12,West,Phone X,232,168125.65,0.043
2025-12,West,Tablet Air,425,214432.99,0.041
2025-12,West,Headphones Elite,509,150828.74,0.074
2025-12,West,Smart Watch,516,128213.32,0.048
2025-12,West,Camera Zoom,342,308345.36,0.05
2026-01,North,Laptop Pro,183,264190.0,0.061
2026-01,North,Phone X,139,89773.96,0.018
2026-01,North,Tablet Air,274,127717.56,0.064
2026-01,North,Headphones Elite,246,79263.75,0.053
2026-01,North,Smart Watch,227,52546.6,0.022
2026-01,North,Camera Zoom,197,164753.48,0.042
2026-01,South,Laptop Pro,187,246516.66,0.066
2026-01,South,Phone X,221,144613.25,0.037
2026-01,South,Tablet Air,207,108848.25,0.025
2026-01,South,Headphones Elite,270,79108.24,0.08
2026-01,South,Smart Watch,202,48637.31,0.055
2026-01,South,Camera Zoom,119,100662.29,0.021
2026-01,East,Laptop Pro,130,194626.84,0.051
2026-01,East,Phone X,301,199955.0,0.073
2026-01,East,Tablet Air,209,99055.3,0.028
2026-01,East,Headphones Elite,232,72103.28,0.035
2026-01,East,Smart Watch,136,32825.55,0.063
2026-01,East,Camera Zoom,179,162743.78,0.046
2026-01,West,Laptop Pro,108,149624.0,0.042
2026-01,West,Phone X,185,138700.87,0.011
2026-01,West,Tablet Air,307,160995.05,0.03
2026-01,West,Headphones Elite,315,93401.76,0.016
2026-01,West,Smart Watch,276,68498.27,0.077
2026-01,West,Camera Zoom,152,131511.83,0.075
2026-02,North,Laptop Pro,180,265319.38,0.023
2026-02,North,Phone X,254,172578.99,0.019
2026-02,North,Tablet Air,176,89716.87,0.016
2026-02,North,Headphones Elite,320,91104.62,0.025
2026-02,North,Smart Watch,106,24448.6,0.018
2026-02,North,Camera Zoom,160,146504.7,0.045
2026-02,South,Laptop Pro,280,401570.71,0.026
2026-02,South,Phone X,228,151372.43,0.022
2026-02,South,Tablet Air,298,155833.35,0.039
2026-02,South,Headphones Elite,282,83054.41,0.033
2026-02,South,Smart Watch,251,59538.75,0.041
2026-02,South,Camera Zoom,319,301684.87,0.047
2026-02,East,Laptop Pro,308,398665.06,0.051
2026-02,East,Phone X,366,238458.04,0.015
2026-02,East,Tablet Air,123,62645.1,0.028
2026-02,East,Headphones Elite,264,82895.35,0.038
2026-02,East,Smart Watch,253,58068.46,0.032
2026-02,East,Camera Zoom,174,147149.11,0.074
2026-02,West,Laptop Pro,226,296652.17,0.04
2026-02,West,Phone X,218,158126.94,0.017
2026-02,West,Tablet Air,336,175987.58,0.079
2026-02,West,Headphones Elite,255,77198.82,0.036
2026-02,West,Smart Watch,296,68079.1,0.061
2026-02,West,Camera Zoom,115,95286.04,0.011
2026-03,North,Laptop Pro,220,329703.62,0.031
2026-03,North,Phone X,218,140981.26,0.076
2026-03,North,Tablet Air,196,94222.03,0.032
2026-03,North,Headphones Elite,209,64890.06,0.048
2026-03,North,Smart Watch,180,45321.39,0.03
2026-03,North,Camera Zoom,155,139417.23,0.023
2026-03,South,Laptop Pro,121,167462.88,0.022
2026-03,South,Phone X,409,275210.52,0.045
2026-03,South,Tablet Air,227,109916.62,0.03
2026-03,South,Headphones Elite,385,115272.31,0.059
2026-03,South,Smart Watch,399,99061.01,0.028
2026-03,South,Camera Zoom,328,310725.89,0.065
2026-03,East,Laptop Pro,441,569634.85,0.064
2026-03,East,Phone X,176,127864.54,0.07
2026-03,East,Tablet Air,284,142116.45,0.046
2026-03,East,Headphones Elite,217,62499.17,0.054
2026-03,East,Smart Watch,259,65669.11,0.06
2026-03,East,Camera Zoom,412,392532.03,0.014
2026-03,West,Laptop Pro,352,523256.22,0.018
2026-03,West,Phone X,278,183371.42,0.026
2026-03,West,Tablet Air,403,193573.39,0.022
2026-03,West,Headphones Elite,335,106014.25,0.075
2026-03,West,Smart Watch,159,39871.3,0.059
2026-03,West,Camera Zoom,162,148905.22,0.063
