date,revenue,orders,avg_order_value,conversion_rate,visitors,category
2025-12-20,20419.83,143,142.8,2.91,4909,Electronics
2025-12-20,9628.11,48,200.59,3.52,1365,Clothing
2025-12-20,9388.29,63,149.02,3.13,2010,Home & Garden
2025-12-20,5411.32,34,159.16,3.26,1043,Sports
2025-12-21,16900.11,108,156.48,3.47,3108,Electronics
2025-12-21,10694.77,67,159.62,3.39,1979,Clothing
2025-12-21,9225.66,65,141.93,3.71,1752,Home & Garden
2025-12-21,6707.86,40,167.7,2.73,1463,Sports
2025-12-22,32159.0,192,167.49,2.64,7275,Electronics
2025-12-22,13317.08,64,208.08,3.41,1879,Clothing
2025-12-22,13236.72,66,200.56,3.3,1997,Home & Garden
2025-12-22,10380.19,60,173.0,3.33,1802,Sports
2025-12-23,31228.5,164,190.42,3.79,4324,Electronics
2025-12-23,15578.31,79,197.19,2.57,3075,Clothing
2025-12-23,11185.74,68,164.5,2.62,2595,Home & Garden
2025-12-23,8402.71,56,150.05,2.92,1919,Sports
2025-12-24,53500.58,316,169.31,3.06,10342,Electronics
2025-12-24,25139.95,155,162.19,3.91,3969,Clothing
2025-12-24,23010.45,121,190.17,2.76,4389,Home & Garden
2025-12-24,17659.83,115,153.56,3.07,3746,Sports
2025-12-25,59246.63,309,191.74,3.34,9264,Electronics
2025-12-25,29207.76,140,208.63,3.66,3820,Clothing
2025-12-25,20340.34,142,143.24,2.97,4776,Home & Garden
2025-12-25,15448.0,98,157.63,3.92,2503,Sports
2025-12-26,57773.4,349,165.54,3.48,10019,Electronics
2025-12-26,26939.26,126,213.8,3.19,3951,Clothing
2025-12-26,20678.72,129,160.3,3.34,3859,Home & Garden
2025-12-26,15498.33,82,189.0,3.85,2131,Sports
2025-12-27,19673.77,124,158.66,4.0,3102,Electronics
2025-12-27,10898.56,74,147.28,2.57,2878,Clothing
2025-12-27,7675.89,40,191.9,3.69,1084,Home & Garden
2025-12-27,6368.23,43,148.1,3.07,1399,Sports
2025-12-28,23417.88,128,182.95,3.96,3235,Electronics
2025-12-28,12101.91,85,142.38,3.58,2373,Clothing
