response_id,date,department,channel,nps_score,satisfaction,would_recommend,comment_length
1,2026-02-08,Support,In-App,10,4,yes,145
2,2026-01-20,Marketing,Phone,8,4,yes,0
3,2026-02-01,Support,Email,7,4,yes,128
4,2026-02-19,Marketing,Email,9,4,yes,448
5,2026-03-13,Product,Phone,8,3,yes,0
6,2026-01-31,Marketing,Email,7,3,yes,107
7,2026-02-27,Support,In-App,10,5,yes,263
8,2026-01-08,Product,Phone,8,3,yes,143
9,2026-01-11,Support,Email,10,5,yes,138
10,2026-02-05,Product,Phone,10,4,yes,0
11,2026-03-07,Engineering,Email,7,3,yes,200
12,2026-01-25,Engineering,Phone,8,4,yes,142
13,2026-02-22,Support,In-App,8,4,yes,0
14,2026-02-27,Sales,In-App,9,5,yes,0
15,2026-03-14,Engineering,Phone,9,4,yes,0
16,2026-01-12,Sales,Phone,10,4,yes,0
17,2026-02-10,Marketing,In-App,6,3,no,337
18,2026-03-05,Support,Phone,9,4,yes,356
19,2026-02-08,Engineering,Phone,10,4,yes,380
20,2026-01-22,Engineering,Phone,8,4,yes,0
21,2026-03-14,Sales,Phone,7,3,yes,0
22,2026-02-13,Marketing,Phone,5,3,no,0
23,2026-02-25,Product,In-App,9,4,yes,250
24,2026-01-11,Product,In-App,8,4,yes,139
25,2026-02-08,Engineering,In-App,1,1,no,0
26,2026-01-26,Product,In-App,8,3,yes,454
27,2026-02-27,Marketing,Email,2,1,yes,435
28,2026-03-12,Support,Phone,10,4,yes,331
29,2026-01-07,Marketing,Email,9,4,yes,363
30,2026-03-02,Marketing,Email,10,5,yes,96
31,2026-01-25,Product,In-App,10,5,yes,493
32,2026-03-14,Product,Email,10,4,yes,82
33,2026-01-18,Support,In-App,8,3,yes,0
34,2026-02-27,Marketing,Email,3,1,no,0
35,2026-02-22,Sales,In-App,9,4,yes,384
36,2026-01-24,Engineering,Phone,10,5,yes,0
37,2026-01-15,Engineering,In-App,10,5,yes,498
38,2026-03-10,Product,Phone,10,5,yes,96
39,2026-02-27,Support,In-App,7,3,yes,437
40,2026-02-17,Marketing,Phone,1,1,no,0
41,2026-01-22,Sales,Email,10,5,yes,417
42,2026-02-19,Marketing,Email,9,4,yes,494
43,2026-03-03,Marketing,Email,9,4,yes,0
44,2026-02-13,Marketing,Phone,10,5,yes,264
45,2026-01-07,Sales,Phone,9,4,yes,0
46,2026-02-17,Product,In-App,7,3,yes,116
47,2026-02-12,Product,Phone,9,4,yes,0
48,2026-02-03,Marketing,Phone,3,2,no,221
49,2026-02-03,Support,In-App,10,5,yes,28
50,2026-03-08,Sales,In-App,8,4,yes,0
51,2026-03-01,Marketing,Email,5,2,no,0
52,2026-01-08,Product,Email,10,4,yes,0
53,2026-03-02,Sales,In-App,8,4,yes,479
54,2026-02-18,Sales,Email,10,4,yes,235
55,2026-02-10,Sales,Email,8,3,yes,0
56,2026-03-15,Product,Phone,0,1,no,23
57,2026-02-23,Marketing,Email,8,4,yes,89
58,2026-02-22,Engineering,Email,8,4,yes,416
59,2026-02-23,Product,Email,10,5,yes,0
60,2026-03-10,Engineering,In-App,7,3,yes,412
61,2026-03-14,Marketing,Email,7,4,yes,429
62,2026-02-20,Engineering,Email,10,4,yes,0
63,2026-03-15,Marketing,Phone,9,4,yes,0
64,2026-01-07,Product,Email,9,4,yes,229
65,2026-01-11,Sales,Phone,10,4,yes,0
66,2026-01-22,Sales,Phone,9,4,yes,243
67,2026-01-30,Sales,In-App,4,2,no,271
68,2026-02-23,Support,Phone,2,1,no,228
69,2026-03-02,Sales,Phone,7,3,yes,71
70,2026-01-18,Support,Email,0,1,no,424
71,2026-01-13,Engineering,Phone,10,5,yes,258
72,2026-01-12,Product,Phone,9,4,yes,140
73,2026-02-25,Sales,Email,10,4,yes,492
74,2026-01-24,Sales,In-App,10,5,yes,0
75,2026-01-14,Support,Phone,10,4,yes,48
76,2026-02-07,Product,Email,6,3,no,0
77,2026-02-25,Marketing,Phone,10,4,yes,332
78,2026-01-16,Sales,Phone,7,3,yes,315
79,2026-01-06,Product,In-App,10,4,yes,0
80,2026-01-29,Engineering,Phone,9,4,yes,401
81,2026-02-01,Sales,Email,8,3,yes,100
82,2026-02-04,Support,In-App,6,2,yes,341
83,2026-01-25,Marketing,Phone,8,4,yes,414
84,2026-03-12,Engineering,Phone,10,4,yes,261
85,2026-01-29,Product,In-App,9,4,yes,127
86,2026-02-27,Engineering,Email,10,4,yes,0
87,2026-02-19,Product,Email,3,1,yes,0
88,2026-03-09,Engineering,Email,9,4,yes,46
89,2026-02-07,Support,Email,0,1,no,257
90,2026-03-14,Product,Email,8,4,yes,72
91,2026-01-11,Product,Email,5,3,yes,109
92,2026-01-28,Product,In-App,9,4,yes,227
93,2026-02-02,Marketing,Email,8,4,yes,0
94,2026-01-31,Product,In-App,10,5,yes,141
95,2026-02-06,Sales,Email,9,4,yes,99
96,2026-02-26,Engineering,Phone,3,1,no,0
97,2026-01-31,Engineering,In-App,10,4,yes,0
98,2026-03-03,Sales,Phone,4,2,no,66
99,2026-01-13,Marketing,In-App,4,2,yes,0
100,2026-02-27,Marketing,Email,9,4,yes,445
101,2026-01-18,Product,Phone,9,4,yes,232
102,2026-01-17,Sales,In-App,4,2,no,89
103,2026-01-06,Support,Email,8,3,yes,0
104,2026-03-09,Marketing,Phone,10,5,yes,1
105,2026-03-12,Product,In-App,8,3,yes,135
106,2026-03-13,Sales,In-App,7,3,yes,98
107,2026-02-10,Engineering,In-App,8,4,yes,343
108,2026-02-26,Product,In-App,10,5,yes,73
109,2026-01-16,Sales,Email,6,2,yes,28
110,2026-02-16,Sales,Phone,9,4,yes,12
111,2026-01-13,Marketing,Phone,8,4,yes,372
112,2026-02-24,Product,In-App,0,1,yes,119
113,2026-01-21,Support,Phone,8,4,yes,312
114,2026-01-27,Marketing,In-App,9,4,yes,132
115,2026-01-12,Engineering,Phone,6,3,no,379
116,2026-03-14,Support,Email,8,4,yes,301
117,2026-02-18,Support,In-App,7,3,yes,351
118,2026-02-20,Engineering,Email,10,5,yes,135
119,2026-02-20,Marketing,Phone,10,5,yes,295
